description,hs_code,category,sample_type,confusable_with,classification_note
"ActiveFit men's compression singlet, high-stretch knitted fabric, black, M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Performance casual top for boys, made from durable cotton percale with a classic point collar.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'performance casual top for boys,' 'durable cotton percale' (woven fabric), and 'classic point collar'."
"Grandstream HT801 VoIP analog telephone adapter gateway, single FXS port for IP telephony network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Acrylic desktop document organizer 6-slot letter tray clear stackable office,3926,Other articles of plastics,standard,,Clear standard: acrylic + organizer tray.
"Men's foundational underlayer for torso, created from a resilient, form-fitting material offering all-day comfort.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,Ambiguous: missing primary identifiers 'singlet'/'T-shirt' and 'knitted'; inferrable from 'underlayer for torso' and 'form-fitting material'.
"A handheld device for electronic news gathering, recording high-fidelity moving images and audio.",8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Black powder-coated steel modular garage shelving unit, industrial storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (shelving, furniture)."
"AlpineGear men's performance merino wool jersey T-shirt, short sleeve, blue, M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Men's collared long-sleeve top in fine interlock knit, featuring a full button-front placket and button cuffs.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
PVC rain-proof electrical cable conduit trunking 2-metre lengths grey,3926,Other articles of plastics,standard,,Clear standard: PVC + conduit/trunking.
"Floating wall shelf set (3-piece), white MDF, modern home furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (shelf, furniture)."
"FujiFilm X-T5 mirrorless camera, 40 megapixel APS-C sensor, for high-resolution stills and 6.2K video recording.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (mirrorless, camera, megapixel, video recording)."
"Classic men's red and black plaid flannel shirt, brushed woven cotton, button-front, size L, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Adjustable standing computer desk with wire management, office workstation furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (desk, furniture)."
"Woven poplin Henley shirt, featuring a three-button placket and ultra-casual short sleeves.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
Modular component managing distribution of electronic signals and information among connected client devices.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'switch' or 'hub'; inferrable from functional context.
"Cisco Catalyst 2960X-24TS-L Gigabit Ethernet managed switch, 24 ports, for enterprise network infrastructure.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Sleeveless knitted vest, ideal as an underlayer for a man's formal shirt or traditional Oxford button-down.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (vest); modifier contains 6205 trap keywords (formal shirt, Oxford, button-down)."
"Boys' long-sleeved covering, designed with a stiff collar and a straight hem, ideal for school uniform.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'boys' long-sleeved covering,' 'stiff collar,' 'straight hem,' and 'school uniform' context."
"Athletic top for men, crafted from a breathable, stretchy textile, featuring short sleeves and a rounded neckline.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'athletic top', 'stretchy textile', and style details."
"Men's woven short-sleeve shirt with a relaxed fit, often paired with a lightweight crewneck for warmer climates.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'woven short-sleeve shirt' (6205) modified by 'crewneck' (6109 trap keyword).
"Summer men's striped linen shirt, short sleeve, resort style, breathable woven fabric, size L, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Moxa MGate 5105-MB-EIP industrial Ethernet gateway for Modbus RTU/TCP to EtherNet/IP network conversion.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Polycarbonate transparent face shield with adjustable headband clear anti-fog coating,3926,Other articles of plastics,standard,,Clear standard: polycarbonate + face shield.
"Wearable body camera with integrated LTE for real-time field communication, remote monitoring, and two-way voice.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Outdoor weatherproof IP surveillance camera, 8 megapixel resolution, with infrared optical lens and built-in video recorder.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (surveillance camera, megapixel, optical, lens, video recorder)."
"Garment for formal male attire, featuring a pointed collar, full front closure, in a breathable twill textile.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'garment for formal male attire,' 'pointed collar,' 'full front closure,' and 'twill textile' (woven)."
"Moisture-wicking performance singlet, knitted, ideal for wear beneath a tailored woven dress shirt for extended comfort.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (singlet); modifier contains 6205 trap keywords (woven, dress shirt)."
"Studio portrait DSLR camera, 50 megapixel full-frame, optimized for detail with prime optical lenses.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (DSLR, camera, megapixel, optical, lenses)."
"UHD drone camera system with stabilized gimbal, long-range cellular data link for live FPV and command signals.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
Polypropylene step stool shaped and styled to match bedroom dresser and nightstand furniture set,3926,Other articles of plastics,edge_case,9403.0,Edge case: subject is plastic step stool (3926); modifier 'bedroom dresser and nightstand furniture set' are strong 9403 trap keywords.
"Premium men's short-sleeve pique knit shirt with spread collar, three-button placket, and tailored fit.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Panasonic Lumix LX100 digital camera, 17 megapixel Micro Four Thirds sensor, with a Leica optical zoom lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital camera, megapixel, optical, lens)."
"Qotom Mini PC with Intel i226-V 2.5G LAN ports, functioning as a network router/gateway appliance.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Minimalist short-sleeve twill weave shirt, simple v-neck, intended for a very comfortable, loose fit.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"Handheld digital video recorder, Full HD, integrated camera with a fixed wide-angle optical lens for field use.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital video recorder, camera, optical, lens)."
PVC waterproof dry bag 20L roll-top closure outdoor kayaking blue,3926,Other articles of plastics,standard,,Clear standard: PVC + waterproof bag.
"Boys' casual checked button-down shirt, long sleeve, 100% woven cotton, size 8, versatile, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Ventilated cotton upper body wear for gentlemen, with short sleeves and a camp collar, perfect for resort style.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'upper body wear for gentlemen,' 'short sleeves,' 'camp collar' (a type of shirt collar), and 'ventilated cotton' (suggests woven)."
"Netgear 8-port unmanaged Gigabit Ethernet switch, metal casing, for small office local area network expansion.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Cradlepoint E3000 Series 5G enterprise gateway/router, for primary or failover WAN connectivity.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Industrial inspection camera with flexible probe, Wi-Fi for remote display, and encrypted data transmission for diagnostics.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
"Men's upperwear for business settings, with a classic pointed collar and robust sateen construction.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'men's upperwear for business settings,' 'pointed collar,' and 'robust sateen construction' (woven)."
"Men's short-sleeve navy blue linen shirt, resort wear, lightweight woven fabric, size M, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"A robust, glass-enclosed edifice with internal illumination for showcasing retail merchandise.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'display case'; inferrable from functional context.
"Men's woven dress shirt, specifically designed to be worn over a crewneck T-shirt for a layered look.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'woven dress shirt' (6205) modified by 'crewneck T-shirt' (6109 trap keywords).
"Unit designed for continuous visual acquisition of premises, providing remote monitoring capabilities.",8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Industrial pipe bookcase with solid wood shelves, open design study furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (bookcase, shelves)."
"Structured oxford weave shirt, cut with a modern, relaxed fit, similar to a premium cotton tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"Designer men's patterned dress shirt, woven silk blend, tailored fit, size 40, formal occasion, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Interlocking sections of a durable, weather-resistant material used to define garden beds.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"IKEA MALM white particleboard 6-drawer dresser, bedroom furniture storage unit.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (dresser, furniture)."
Molded ABS rigid protective carrying case foam insert IP67 waterproof black,3926,Other articles of plastics,standard,,Clear standard: molded ABS + carrying case.
