description,hs_code,category,sample_type,confusable_with,classification_note
"Lightweight, collapsible plastic folding table, perfect for temporary event setups or craft activities.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Vintage pine wood bookcase with glass doors, a display cabinet for study.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (bookcase, cabinet)."
Verizon Inseego 5G MiFi mobile hotspot router for portable wireless internet access in remote locations.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Yealink T54W VoIP desk telephone with color display, WiFi support, for business communication networks.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Stackable, UV-resistant polypropylene (plastic) stool, designed for durable seating in high-traffic commercial environments.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Rectangular mahogany dining table, seats 8, elegant home furniture item.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
Panasonic DECT 6.0 cordless telephone set with answering machine and two handsets for home use.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Nylon plastic cable management box with lid desktop cord organizer grey,3926,Other articles of plastics,standard,,Clear standard: nylon plastic + cable organizer.
"Boys' lightweight poplin button-down shirt, long sleeve, graphic print, woven cotton, size 14, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Performance athletic shell for sports, sleeveless, manufactured from a moisture-wicking material for peak performance.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'singlet' and 'knitted'; inferrable from 'athletic shell', 'sleeveless', and 'moisture-wicking material'."
Robotic vision system component providing real-time visual input for remote operation or analysis.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Slim metal console table for hallway entrance, a modern accent furniture piece.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
Acrylic desktop document organizer 6-slot letter tray clear stackable office,3926,Other articles of plastics,standard,,Clear standard: acrylic + organizer tray.
Compact security device offering 4K video surveillance and two-way audio communication via built-in 5G.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Everyday essential top, pure cotton, with a comfortable, rounded neck and short sleeves for all seasons.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'essential top', 'rounded neck', 'short sleeves', and common material (cotton)."
"Outdoor men's durable navy flannel shirt, insulated, button-front, woven cotton, size M, cold weather, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Smartphone featuring advanced communication capabilities and a built-in 108-megapixel camera with 5x optical zoom.,8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'smartphone' (8517); modifier contains 8525 trap keywords ('megapixel camera', 'optical zoom')."
"Interlocking sections of a durable, weather-resistant material used to define garden beds.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Wireless router designed for robust 4K video streaming, enabling remote access to high-resolution camera feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'wireless router' (8517); modifier contains 8525 trap keywords ('4K video', 'camera')."
"Boys' short-sleeve blue Oxford shirt, pure woven cotton, size 10, for school uniform, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Maple kitchen base cabinet, 30-inch width, assembled storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
A wearable electronic imaging gadget for documenting personal adventures in ultra-high clarity.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
Industrial drone payload featuring a high-resolution camera and 4G modem for live data transmission and operational communication.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"A rugged, compact device for capturing high-definition aerial footage during expeditions.",8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
A freestanding vertical structure with open tiers for towels and toiletries in a washroom.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'shelf' or 'storage unit'; inferrable from functional context.
Rigid PVC 6-drawer storage chest tower on casters stackable black,3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): plastic article (3926); chest of drawers function suggests 9403 but plastic construction and non-dedicated furniture purpose prevails.
"Studio portrait DSLR camera, 50 megapixel full-frame, optimized for detail with prime optical lenses.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (DSLR, camera, megapixel, optical, lenses)."
"Unisex basic white crewneck singlet, breathable knitted cotton, size XS, layering.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"AlpineGear men's performance merino wool jersey T-shirt, short sleeve, blue, M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Kids' vibrant yellow crocheted T-shirt with short sleeves, cotton, size 6, summer.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Minimalist short-sleeve twill weave shirt, simple v-neck, intended for a very comfortable, loose fit.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
